Date,State,Disaster Type,Severity,Deaths,Injuries,Economic Loss (Crore ₹),Month_Total
2015-01-15,Andhra Pradesh,Earthquake,8,5,149,193.6,3
2015-01-15,Arunachal Pradesh,Flood,3,13,82,306.8,3
2015-01-15,Assam,Cyclone,5,4,31,30.2,3
2015-01-15,Bihar,Landslide,4,12,5,71.5,3
2015-01-15,Chhattisgarh,Cyclone,3,14,0,204.8,3
2015-01-15,Goa,Heatwave,8,1,136,121.9,3
2015-01-15,Gujarat,Earthquake,6,0,111,120.5,3
2015-01-15,Haryana,Landslide,6,9,54,208.3,3
2015-01-15,Himachal Pradesh,Heatwave,3,8,65,110.0,3
2015-01-15,Jharkhand,Cyclone,5,9,20,39.8,3
2015-01-15,Karnataka,Flood,8,7,26,102.5,3
2015-01-15,Kerala,Landslide,4,0,76,5.2,3
2015-01-15,Madhya Pradesh,Forest Fire,9,3,12,144.9,3
2015-01-15,Maharashtra,Cyclone,7,6,63,80.1,3
2015-01-15,Manipur,Heatwave,5,17,0,102.8,3
2015-01-15,Meghalaya,Landslide,4,5,93,249.1,3
2015-01-15,Mizoram,Cyclone,4,0,49,74.7,3
2015-01-15,Nagaland,Drought,4,9,44,31.7,3
2015-01-15,Odisha,Cyclone,5,0,0,140.8,3
2015-01-15,Punjab,Earthquake,5,0,98,130.7,3
2015-01-15,Rajasthan,Earthquake,6,15,40,130.1,3
2015-01-15,Sikkim,Cyclone,4,18,14,104.5,3
2015-01-15,Tamil Nadu,Landslide,3,5,86,41.0,3
2015-01-15,Telangana,Earthquake,4,1,0,6.6,3
2015-01-15,Tripura,Flood,7,3,19,74.2,3
2015-01-15,Uttar Pradesh,Landslide,4,13,84,35.0,3
2015-01-15,Uttarakhand,Landslide,3,17,150,13.1,3
2015-01-15,West Bengal,Drought,6,7,66,24.7,3
2015-02-15,Andhra Pradesh,Cyclone,9,3,52,126.5,3
2015-02-15,Arunachal Pradesh,Heatwave,9,8,71,84.4,3
2015-02-15,Assam,Flood,3,21,31,35.0,3
2015-02-15,Bihar,Heatwave,3,3,46,183.6,3
2015-02-15,Chhattisgarh,Heatwave,4,20,33,148.3,3
2015-02-15,Goa,Forest Fire,6,20,77,40.5,3
2015-02-15,Gujarat,Drought,3,1,82,2.1,3
2015-02-15,Haryana,Flood,4,12,0,151.3,3
2015-02-15,Himachal Pradesh,Drought,5,6,39,164.5,3
2015-02-15,Jharkhand,Forest Fire,8,14,101,29.5,3
2015-02-15,Karnataka,Flood,3,0,24,107.6,3
2015-02-15,Kerala,Flood,4,4,10,54.1,3
2015-02-15,Madhya Pradesh,Cyclone,9,19,59,129.7,3
2015-02-15,Maharashtra,Cyclone,7,6,52,183.6,3
2015-02-15,Manipur,Landslide,7,21,76,189.8,3
2015-02-15,Meghalaya,Flood,7,11,7,44.4,3
2015-02-15,Mizoram,Heatwave,9,27,70,20.2,3
2015-02-15,Nagaland,Heatwave,3,0,83,88.6,3
2015-02-15,Odisha,Flood,4,3,33,2.9,3
2015-02-15,Punjab,Landslide,5,11,62,198.2,3
2015-02-15,Rajasthan,Earthquake,4,17,80,121.7,3
2015-02-15,Sikkim,Forest Fire,4,0,71,38.8,3
2015-02-15,Tamil Nadu,Heatwave,3,8,31,179.1,3
2015-02-15,Telangana,Flood,3,7,13,100.3,3
2015-02-15,Tripura,Landslide,4,20,52,184.9,3
2015-02-15,Uttar Pradesh,Forest Fire,4,8,72,117.9,3
2015-02-15,Uttarakhand,Earthquake,8,6,50,34.7,3
2015-02-15,West Bengal,Flood,3,12,25,80.4,3
2015-03-15,Andhra Pradesh,Flood,3,12,66,185.3,7
2015-03-15,Arunachal Pradesh,Heatwave,4,15,66,13.8,7
2015-03-15,Assam,Forest Fire,3,14,42,231.8,7
2015-03-15,Bihar,Landslide,3,12,72,116.4,7
2015-03-15,Chhattisgarh,Drought,7,13,70,96.2,7
2015-03-15,Goa,Earthquake,5,14,119,137.2,7
2015-03-15,Gujarat,Cyclone,7,5,92,77.8,7
2015-03-15,Haryana,Landslide,9,12,40,40.8,7
2015-03-15,Himachal Pradesh,Drought,8,0,48,218.1,7
2015-03-15,Jharkhand,Flood,4,0,37,208.2,7
2015-03-15,Karnataka,Forest Fire,5,16,60,39.9,7
2015-03-15,Kerala,Earthquake,7,9,39,75.6,7
2015-03-15,Madhya Pradesh,Earthquake,5,22,43,139.9,7
